Date,Open,High,Low,Close,Adj Close,Volume
2019-12-06,8.330000,8.330000,8.190000,8.280000,8.114200,12585900
2019-12-09,8.170000,8.360000,8.170000,8.310000,8.143600,19988600
2019-12-10,8.330000,8.350000,8.220000,8.270000,8.104401,10928100
2019-12-11,8.320000,8.340000,8.190000,8.240000,8.075002,21170800
2019-12-12,8.320000,8.460000,8.310000,8.440000,8.270997,9670000
2019-12-13,8.400000,8.600000,8.390000,8.440000,8.270997,14640700
2019-12-16,8.510000,8.590000,8.400000,8.410000,8.241595,13479900
2019-12-17,8.410000,8.560000,8.370000,8.510000,8.339594,16018500
2019-12-18,8.580000,8.810000,8.570000,8.740000,8.564990,25710800
2019-12-19,8.730000,8.890000,8.730000,8.870000,8.692386,17466700
2019-12-20,8.710000,8.740000,8.600000,8.600000,8.547264,10702600
2019-12-23,8.720000,8.800000,8.690000,8.730000,8.676466,8181300
2019-12-24,8.770000,8.800000,8.730000,8.750000,8.696344,1644400
2019-12-26,8.840000,8.950000,8.830000,8.940000,8.885179,8362000
2019-12-27,8.930000,8.970000,8.860000,8.900000,8.845423,6551600
2019-12-30,8.980000,8.980000,8.900000,8.950000,8.895117,6221800
2019-12-31,8.900000,8.960000,8.890000,8.950000,8.895117,2714900
2020-01-02,9.020000,9.260000,9.000000,9.230000,9.173401,10295800
2020-01-03,9.170000,9.320000,9.130000,9.250000,9.197320,18789100
2020-01-06,8.990000,9.120000,8.930000,9.010000,8.958687,12163000
2020-01-07,8.850000,8.900000,8.770000,8.850000,8.799597,10763900
2020-01-08,8.770000,8.890000,8.660000,8.710000,8.660395,16863200
2020-01-09,8.560000,8.580000,8.460000,8.560000,8.511249,15590200
2020-01-10,8.590000,8.630000,8.340000,8.370000,8.322331,12213800
2020-01-13,8.350000,8.410000,8.320000,8.350000,8.302447,11038700
2020-01-14,8.310000,8.380000,8.240000,8.380000,8.332273,8445100
2020-01-15,8.250000,8.260000,8.070000,8.120000,8.073755,16460500
2020-01-16,8.180000,8.290000,8.150000,8.240000,8.193072,16518600
2020-01-17,8.430000,8.490000,8.350000,8.440000,8.391932,12197900
2020-01-21,8.170000,8.210000,7.920000,7.920000,7.874895,31816000
2020-01-22,8.040000,8.050000,7.950000,8.020000,7.974324,20692900
2020-01-23,8.070000,8.340000,7.980000,8.280000,8.232844,25290100
2020-01-24,8.190000,8.240000,8.060000,8.160000,8.113527,14244100
